crn,mc_bag_ind,mc_dvr_boots_ind,mc_dvr_edc_ind,mc_dvr_eyeprt_ind,mc_dvr_hlmtdot_ind,mc_dvr_hlmton_ind,mc_dvr_hlmt_type,mc_dvr_lngpnts_ind,mc_dvr_lngslv_ind,mc_engine_size,mc_passngr_ind,mc_pas_boots_ind,mc_pas_eyeprt_ind,mc_pas_hlmtdot_ind,mc_pas_hlmton_ind,mc_pas_hlmt_type,mc_pas_lngpnts_ind,mc_pas_lngslv_ind,mc_trail_ind,pc_hdlght_ind,pc_hlmt_ind,pc_passngr_ind,pc_rear_rfltr_ind,unit_num,year_county,county
2017092410,,,,,,,,,,,,,,,,,,,,N,Y,N,Y,2,2017-67,
2017028994,,,,,,,,,,,,,,,,,,,,U,N,N,Y,2,2017-67,
2017088829,,,,,,,,,,,,,,,,,,,,U,N,N,U,2,2017-67,
2017116095,,,,,,,,,,,,,,,,,,,,U,Y,N,U,2,2017-67,
2017086360,,,,,,,,,,,,,,,,,,,,U,U,N,U,2,2017-67,
2017088931,,,,,,,,,,,,,,,,,,,,U,U,N,U,2,2017-67,
2017091009,N,N,Y,Y,N,N,0,N,Y,1000,N,,,,,,,,N,,,,,1,2017-67,
2017096501,,,,,,,,,,,,,,,,,,,,U,U,N,U,2,2017-67,
2017050642,N,N,U,Y,N,N,0,N,N,650,N,,,,,,,,N,,,,,1,2017-67,
2017116183,,,,,,,,,,,,,,,,,,,,U,N,N,U,2,2017-67,
2017091822,,,,,,,,,,,,,,,,,,,,N,N,N,N,2,2017-67,
2018005455,,,,,,,,,,,,,,,,,,,,U,N,N,U,2,2017-67,
2017115983,,,,,,,,,,,,,,,,,,,,U,N,N,U,2,2017-67,
2017086282,,,,,,,,,,,,,,,,,,,,U,N,N,U,2,2017-67,
2017019612,,,,,,,,,,,,,,,,,,,,U,N,N,U,2,2017-67,
2017086330,,,,,,,,,,,,,,,,,,,,U,N,N,U,2,2017-67,
2017096556,,,,,,,,,,,,,,,,,,,,U,N,N,U,2,2017-67,
2018005566,U,U,N,N,N,N,0,U,U,99999,N,,,,,,,,N,,,,,1,2017-67,
2017093614,U,U,Y,Y,U,U,9,U,U,99999,N,,,,,,,,N,,,,,1,2017-67,
2017052297,,,,,,,,,,,,,,,,,,,,U,N,N,U,2,2017-67,
2017108058,,,,,,,,,,,,,,,,,,,,U,N,N,U,2,2017-67,
2017067783,U,U,N,N,N,N,0,U,U,99999,N,,,,,,,,N,,,,,2,2017-67,
2017060586,U,U,N,Y,U,U,9,U,U,99999,N,,,,,,,,N,,,,,1,2017-67,
2017060586,U,U,Y,Y,U,U,9,U,U,99999,N,,,,,,,,N,,,,,2,2017-67,
2017043848,,,,,,,,,,,,,,,,,,,,N,N,N,U,2,2017-67,
2017105863,N,U,Y,U,Y,Y,2,Y,Y,99999,N,,,,,,,,N,,,,,2,2017-67,
2017107494,,,,,,,,,,,,,,,,,,,,N,N,N,Y,2,2017-67,
2017043867,,,,,,,,,,,,,,,,,,,,N,N,N,N,1,2017-67,
2017052400,U,U,Y,N,N,N,0,U,U,99999,N,,,,,,,,N,,,,,1,2017-67,
2017127532,,,,,,,,,,,,,,,,,,,,U,N,N,U,2,2017-67,
2017060446,U,U,N,U,N,N,0,Y,U,110,N,,,,,,,,N,,,,,2,2017-67,
2017060447,U,U,Y,U,U,U,9,U,U,99999,N,,,,,,,,N,,,,,1,2017-67,
2017043828,,,,,,,,,,,,,,,,,,,,U,N,N,U,2,2017-67,
2017055551,,,,,,,,,,,,,,,,,,,,U,N,N,U,2,2017-67,
2017043843,N,U,N,N,U,U,9,U,U,99999,N,,,,,,,,N,,,,,1,2017-67,
2017104839,N,N,N,Y,N,N,0,Y,Y,1500,N,,,,,,,,N,,,,,1,2017-67,
2017105897,,,,,,,,,,,,,,,,,,,,N,N,N,N,2,2017-67,
2017067904,,,,,,,,,,,,,,,,,,,,U,U,N,U,2,2017-67,
