crn,rdwy_seq_num,adj_rdwy_seq,county,route,segment,offset,rdwy_orient,lane_count,speed_limit,street_name,road_owner,access_ctrl,year_county
2017035529,3,3,67,76,3415,2460,W,3,50,SCHUYLKILL EX,1,1,2017-67
2017035851,4,3,67,,,,W,2,25,NEDRO AV,4,,2017-67
2017043787,4,4,67,13,251,1535,S,2,30,FRANKFORD AV,2,3,2017-67
2017043788,4,4,67,1024,20,0,E,2,25,ROBBINS ST,2,3,2017-67
2017043810,3,3,67,2004,10,1264,E,2,25,MARKET ST,2,3,2017-67
2017043814,4,3,67,,,,N,2,25,52ND ST,4,,2017-67
2017041406,3,3,67,,,,E,2,25,SAINT VINCENT ST,4,,2017-67
2017041408,4,4,67,3015,60,0,N,4,25,FIFTYEIGHTH ST,2,3,2017-67
2017041413,3,3,67,,,,W,1,25,BRIGGS ST,4,,2017-67
2017041414,3,3,67,1005,82,105,N,1,15,,2,3,2017-67
2017041837,4,4,67,611,71,549,S,3,30,BROAD ST,2,3,2017-67
2017041862,3,3,67,95,274,501,N,4,55,DELAWARE EX,1,1,2017-67
2017041428,4,4,67,30,71,168,W,2,50,GIRARD AV,2,3,2017-67
2017043824,4,3,67,,,,N,1,25,GREENE ST,4,,2017-67
2017043844,3,3,67,1003,10,0,N,2,25,B ST,2,3,2017-67
2017043849,3,3,67,,,,E,2,30,SHAWMONT AV,4,,2017-67
2017043867,4,4,67,,,,S,3,25,FIFTEENTH ST,4,,2017-67
2017041134,5,7,67,,,,S,1,25,HURLEY ST,4,,2017-67
2017043783,4,4,67,73,41,2495,W,2,30,COTTMAN AV,2,3,2017-67
2017043813,4,4,67,,,,S,2,25,71ST ST,4,,2017-67
2017041837,3,3,67,611,70,551,N,3,30,BROAD ST,2,3,2017-67
2017041425,3,3,67,2016,110,321,W,2,30,ALLEGHENY AV,2,3,2017-67
2017041429,4,3,67,,,,S,2,25,40TH ST,4,,2017-67
2017043820,5,5,67,2005,61,562,S,3,35,SIXTH ST,2,3,2017-67
2017043833,5,5,67,,,,S,2,25,COTTAGE ST,4,,2017-67
2017043856,4,5,67,3003,10,0,N,2,40,TWENTYSIXTH ST,2,3,2017-67
2017043858,3,3,67,1001,30,164,S,2,35,RISING SUN AV,2,3,2017-67
2017043859,4,3,67,,,,E,1,25,KERPER ST,4,,2017-67
2017043866,3,4,67,,,,W,2,25,SPRUCE ST,4,,2017-67
2017043870,3,4,67,,,,S,1,25,15TH ST,4,,2017-67
2017041097,4,4,67,2016,80,0,E,2,30,ALLEGHENY AV,2,3,2017-67
2017041128,3,4,67,,,,S,1,25,59TH ST,4,,2017-67
2017042653,3,3,67,1005,90,946,N,2,30,CASTOR AV,2,3,2017-67
2017043480,3,3,67,676,11,926,W,2,55,VINE STREET EX,1,1,2017-67
2017043776,3,3,67,3009,150,1118,N,2,30,RIDGE AV,2,3,2017-67
2017043779,3,3,67,,,,E,2,25,HELLERMAN ST,4,,2017-67
2017043787,3,3,67,13,250,1527,N,2,30,FRANKFORD AV,2,3,2017-67
2017043804,3,3,67,3003,50,2381,N,2,40,UNIVERSITY AV,2,3,2017-67
2017040519,3,3,67,676,3,3410,W,3,55,VINE STREET EX,1,1,2017-67
2017041408,3,3,67,13,10,2079,W,2,25,BALTIMORE AV,2,3,2017-67
2017041410,3,3,67,3017,50,0,S,2,35,FIFTYSECOND ST,2,3,2017-67
2017041418,3,3,67,,,,E,2,25,MARTIN LUTHER KING JR DR PS,4,,2017-67
2017041420,3,3,67,,,,S,1,25,S 17TH ST,4,,2017-67
2017043817,5,5,67,,,,W,2,25,PORT ROYAL AV,4,,2017-67
2017041426,4,4,67,611,21,110,S,3,30,BROAD ST,2,3,2017-67
2017043834,3,4,67,,,,E,2,20,WALNUT LN,4,,2017-67
2017043844,4,4,67,2016,80,0,E,2,30,ALLEGHENY AV,2,3,2017-67
2017043845,4,5,67,,,,N,2,25,CALUMET ST,4,,2017-67
2017043846,4,5,67,,,,W,2,25,ABBOTTSFORD AV,4,,2017-67
2017043851,4,5,67,,,,N,2,25,3RD ST,4,,2017-67
2017043868,3,3,67,3007,70,671,N,2,30,KELLY DR,2,3,2017-67
2017043869,4,3,67,,,,W,2,25,CHALFONT DR,4,,2017-67
2017043871,3,3,67,2153,10,97,N,2,25,EIGHTEENTH ST,2,3,2017-67
2017041115,3,3,67,,,,E,2,25,E PRICE ST,4,,2017-67
2017041125,4,4,67,2001,41,1615,W,2,30,OREGON AV,2,3,2017-67
2017041126,3,3,67,1,241,2833,S,3,40,ROOSEVELT BL,2,3,2017-67
2017041131,3,3,67,611,30,1114,N,3,30,BROAD ST,2,3,2017-67
2017041131,4,4,67,611,31,879,S,3,30,BROAD ST,2,3,2017-67
2017041131,5,5,67,,,,W,1,25,MT VERNON ST,4,,2017-67
2017041134,3,3,67,1003,30,1210,N,2,35,WHITAKER AV,2,3,2017-67
2017041134,6,5,67,,,,W,2,25,ALLEY AL,4,,2017-67
2017043776,4,4,67,,,,N,2,25,DOMINO LN,4,,2017-67
2017043789,4,3,67,,,,U,2,25,GREENE ST,4,,2017-67
2017043794,3,3,67,,,,N,2,25,MARTIN LUTHER KING DR,4,,2017-67
2017043811,4,4,67,,,,E,2,25,RED LION RD,4,,2017-67
2017043816,3,3,67,309,33,1659,S,2,35,CHELTENHAM AV,2,3,2017-67
2017034048,3,3,67,1002,30,1218,E,2,35,CHELTENHAM AV,2,3,2017-67
2017041870,3,3,67,676,2,616,E,3,55,VINE STREET EX,1,1,2017-67
2017043818,5,5,67,,,,W,1,25,DOCK ST,4,,2017-67
2017035128,4,3,67,,,,W,1,45,WALT WHITMAN RAMP RD,4,,2017-67
2017043778,4,3,67,,,,N,1,25,N 20TH ST,4,,2017-67
2017041837,5,5,67,,,,E,2,25,DIAMOND ST,4,,2017-67
2017043826,3,3,67,1013,40,721,N,2,35,ACADEMY RD,2,3,2017-67
2017043827,3,3,67,3014,20,305,W,2,25,SPRING GARDEN ST,2,3,2017-67
2017043829,3,3,67,2007,120,172,N,1,25,FRANKFORD AV,2,3,2017-67
2017043839,3,4,67,,,,N,2,25,54TH ST,4,,2017-67
2017043851,5,4,67,,,,W,3,25,CALLOWHILL ST,4,,2017-67
2017043855,3,4,67,,,,W,4,25,OREGON AV,4,,2017-67
2017043864,3,3,67,,,,W,2,25,LEVICK ST,4,,2017-67
2017041120,3,3,67,,,,E,2,25,CHRISTIAN ST,4,,2017-67
2017041133,4,4,67,,,,N,2,25,ST CHRIS DR,4,,2017-67
2017036301,3,3,67,95,200,793,N,3,55,DELAWARE EX,1,1,2017-67
2017042422,3,3,67,76,3395,1098,W,4,50,SCHUYLKILL EX,1,1,2017-67
2017039670,4,4,67,,,,N,2,25,N 31ST ST,4,,2017-67
2017043778,3,4,67,,,,E,2,25,FAIRMOUNT AV,4,,2017-67
2017043785,3,3,67,,,,E,2,25,E MONTGOMERY AV,4,,2017-67
2017043792,3,4,67,,,,E,2,25,WHARTON ST,4,,2017-67
2017043797,4,4,67,,,,E,2,25,VENANGO ST,4,,2017-67
2017043808,4,3,67,,,,E,1,25,PINE ST,4,,2017-67
2017041402,3,3,67,,,,N,2,25,UMBRIA ST,4,,2017-67
2017041405,4,3,67,,,,S,2,25,20TH ST,4,,2017-67
2017041410,4,4,67,,,,E,2,25,GIRARD AV,4,,2017-67
2017041414,4,4,67,1005,83,160,N,1,15,CASTOR AV,2,3,2017-67
2017041421,4,3,67,,,,W,2,35,CHRISTIAN ST,4,,2017-67
2017041422,3,3,67,,,,N,2,25,FRONT ST,4,,2017-67
2017043818,4,4,67,2001,91,1322,S,3,35,CHRISTOPHER COLUMBUS BL,2,3,2017-67
2017041428,6,6,67,8008,20,0,N,1,25,RAMP B RD,2,1,2017-67
2017043827,4,4,67,,,,N,2,25,31ST ST,4,,2017-67
2017043830,3,3,67,,,,N,2,25,ROWLAND AV,4,,2017-67
2017043833,4,4,67,73,71,676,W,2,30,COTTMAN AV,2,3,2017-67
2017043856,7,7,67,,,,S,2,40,26TH ST,4,,2017-67
2017043860,3,4,67,,,,W,2,25,BRIDGE ST,4,,2017-67
2017043861,5,5,67,1001,60,3368,N,2,35,RISING SUN AV,2,3,2017-67
2017041132,3,3,67,,,,N,1,25,N YEWDALL ST,4,,2017-67
2017043227,3,3,67,676,4,1062,E,3,55,VINE STREET EX,1,1,2017-67
2017035128,3,4,67,,,,W,3,45,WALT WHITMAN BR,4,,2017-67
2017035527,3,3,67,8057,10,247,E,1,20,RAMP C RD,2,1,2017-67
2017035746,3,3,67,4009,30,581,N,2,35,ROBERTS AV,2,3,2017-67
2017043793,4,3,67,,,,N,1,25,NAPA ST,4,,2017-67
2017043800,3,4,67,,,,S,2,25,ISEMINGER ST,4,,2017-67
2017043803,3,3,67,6001,161,137,S,3,40,ROOSEVELT BL,2,3,2017-67
2017043807,3,3,67,611,30,2428,N,3,30,BROAD ST,2,3,2017-67
2017043810,5,5,67,,,,N,2,25,11TH ST,4,,2017-67
2017040519,4,4,67,8057,500,0,N,1,25,RAMP B RD,2,1,2017-67
2017041404,3,3,67,1,291,0,S,3,45,ROOSEVELT BL,2,3,2017-67
2017041419,3,3,67,3009,40,0,S,2,35,RIDGE AV,2,3,2017-67
2017041423,4,3,67,,,,N,1,25,SYDENHAM ST,4,,2017-67
2017043820,4,4,67,2004,21,908,W,1,25,MARKET ST,2,3,2017-67
2017041428,5,5,67,8008,10,877,S,1,25,RAMP A RD,2,1,2017-67
2017041429,3,4,67,,,,E,1,25,BROWN ST,4,,2017-67
2017043835,4,3,67,,,,E,2,35,CHELTEN AV,4,,2017-67
2017043839,4,3,67,,,,E,2,25,VINE ST,4,,2017-67
2017043847,4,4,67,,,,N,2,35,33RD ST,4,,2017-67
2017043860,4,3,67,,,,N,2,30,LORETTO AV,4,,2017-67
2017043861,3,3,67,232,62,207,N,2,25,OXFORD AV,2,3,2017-67
2017043869,3,4,67,,,,S,2,25,BROOKVIEW RD,4,,2017-67
2017041123,3,3,67,611,90,352,N,2,30,BROAD ST,2,3,2017-67
2017041129,3,3,67,,,,N,1,25,STEVENS RD,4,,2017-67
2017043226,3,3,67,95,251,689,S,4,55,DELAWARE EX,1,1,2017-67
2017043784,3,3,67,3007,130,1108,N,2,35,KELLY DR,2,3,2017-67
